STEMMING,tokenized_sents,polarity_score,polarity
ness yang anjem jam 9 an driver cewek butuh yang gc tolong langsung drop saya,"['ness', 'yang', 'anjem', 'jam', '9', 'an', 'driver', 'cewek', 'butuh', 'yang', 'gc', 'tolong', 'langsung', 'drop', 'saya']",-20,-1
need anjem sat set sekarangg gerbang utama fbs ness,"['need', 'anjem', 'sat', 'set', 'sekarangg', 'gerbang', 'utama', 'fbs', 'ness']",0,0
unnesmenfess jastip ap nder https t co rij4x8onzr start 4k,"['unnesmenfess', 'jastip', 'ap', 'nder', 'https', 't', 'co', 'rij4x8onzr', 'start', '4k']",0,0
ness info seblak parasmanan bm seblak kemarin,"['ness', 'info', 'seblak', 'parasmanan', 'bm', 'seblak', 'kemarin']",-3,-1
ness info yang jual lauk cumi cumi bm amp jastipnya kalau 4k,"['ness', 'info', 'yang', 'jual', 'lauk', 'cumi', 'cumi', 'bm', 'amp', 'jastipnya', 'kalau', '4k']",-8,-1
undipmenfess semarang undip unnes semarang,"['undipmenfess', 'semarang', 'undip', 'unnes', 'semarang']",0,0
ness jastip sudah open tolong,"['ness', 'jastip', 'sudah', 'open', 'tolong']",-4,-1
ness info yang jual buku petak sekitar jalan taman siswa mana ya https t co 7mb6au3mku,"['ness', 'info', 'yang', 'jual', 'buku', 'petak', 'sekitar', 'jalan', 'taman', 'siswa', 'mana', 'ya', 'https', 't', 'co', '7mb6au3mku']",-3,-1
ness dokter gigi semarang bagus mana yaa daerah tidak apa tolong rekomenin sudah gakuatttt,"['ness', 'dokter', 'gigi', 'semarang', 'bagus', 'mana', 'yaa', 'daerah', 'tidak', 'apa', 'tolong', 'rekomenin', 'sudah', 'gakuatttt']",-11,-1
ness minggu surat aktif kuliah myunnes tapi sampai sekarang kaya gin memang nunggu surat muncul langsung itu fakultas ya makasih yang sudah,"['ness', 'minggu', 'surat', 'aktif', 'kuliah', 'myunnes', 'tapi', 'sampai', 'sekarang', 'kaya', 'gin', 'memang', 'nunggu', 'surat', 'muncul', 'langsung', 'itu', 'fakultas', 'ya', 'makasih', 'yang', 'sudah']",-1,-1
infoness info loker guru mapel nih https t co hypws9vrmc,"['infoness', 'info', 'loker', 'guru', 'mapel', 'nih', 'https', 't', 'co', 'hypws9vrmc']",0,0
unnesmenfess cek,"['unnesmenfess', 'cek']",-4,-1
ness anjem jam 6 40,"['ness', 'anjem', 'jam', '6', '40']",0,0
ness yang suka kpop kdrama thailand series mutulan skuyyy like saja sender foll jan lupa fllbck yhh,"['ness', 'yang', 'suka', 'kpop', 'kdrama', 'thailand', 'series', 'mutulan', 'skuyyy', 'like', 'saja', 'sender', 'foll', 'jan', 'lupa', 'fllbck', 'yhh']",-8,-1
unnesmenfess nder ayangku hehe,"['unnesmenfess', 'nder', 'ayangku', 'hehe']",0,0
unnesmenfess ready kaj,"['unnesmenfess', 'ready', 'kaj']",1,1
unsoedfess1963 ptn bh guru negeri badan hukum univ kasih wewenang ngatur otonomi kampus intervensi perintah cmiiw btw ui cabang gunungpati kemaren2 unnes habis ptn bh cemunguttt,"['unsoedfess1963', 'ptn', 'bh', 'guru', 'negeri', 'badan', 'hukum', 'univ', 'kasih', 'wewenang', 'ngatur', 'otonomi', 'kampus', 'intervensi', 'perintah', 'cmiiw', 'btw', 'ui', 'cabang', 'gunungpati', 'kemaren2', 'unnes', 'habis', 'ptn', 'bh', 'cemunguttt']",3,1
ness jastip ready tidak ya,"['ness', 'jastip', 'ready', 'tidak', 'ya']",-4,-1
unnesmenfess unnes nder simpang 7 sekarang simpang 7 sudah tidak boleh jual jadi tidak tahu pada mana,"['unnesmenfess', 'unnes', 'nder', 'simpang', '7', 'sekarang', 'simpang', '7', 'sudah', 'tidak', 'boleh', 'jual', 'jadi', 'tidak', 'tahu', 'pada', 'mana']",-18,-1
ep cup sampai fe cup aman aman saja bantai bantai tidak tahu sudah masuk unnes games poke 2020 sampai 2023 https t co esgzbg4zdx,"['ep', 'cup', 'sampai', 'fe', 'cup', 'aman', 'aman', 'saja', 'bantai', 'bantai', 'tidak', 'tahu', 'sudah', 'masuk', 'unnes', 'games', 'poke', '2020', 'sampai', '2023', 'https', 't', 'co', 'esgzbg4zdx']",-21,-1
ness wakamsi tutup deh sedih sangat makan enak terus pw jam gin lapar biasanga wakamsi,"['ness', 'wakamsi', 'tutup', 'deh', 'sedih', 'sangat', 'makan', 'enak', 'terus', 'pw', 'jam', 'gin', 'lapar', 'biasanga', 'wakamsi']",-13,-1
ness jastip open jastip makan burjo laskar 2 cempaka sari timur iii hehe,"['ness', 'jastip', 'open', 'jastip', 'makan', 'burjo', 'laskar', '2', 'cempaka', 'sari', 'timur', 'iii', 'hehe']",-3,-1
ness info snack sidang oy tolong tolong,"['ness', 'info', 'snack', 'sidang', 'oy', 'tolong', 'tolong']",-9,-1
ness sp belum tidur lagi,"['ness', 'sp', 'belum', 'tidur', 'lagi']",-3,-1
ness jam gin lapar hmm,"['ness', 'jam', 'gin', 'lapar', 'hmm']",-5,-1
unnesmenfess tidak tahu kalau area unnes tapi kalau pasar pagi stadion diponegoro,"['unnesmenfess', 'tidak', 'tahu', 'kalau', 'area', 'unnes', 'tapi', 'kalau', 'pasar', 'pagi', 'stadion', 'diponegoro']",-7,-1
collegemenfess univ ku tidak ada saya suka akun sitpost univ mirip uns ums unnes,"['collegemenfess', 'univ', 'ku', 'tidak', 'ada', 'saya', 'suka', 'akun', 'sitpost', 'univ', 'mirip', 'uns', 'ums', 'unnes']",-6,-1
ness senang dapat blush on yang cocok doain moga tahan ya moga dapat blush on yang cocok https t co 2tdnqwxwy3,"['ness', 'senang', 'dapat', 'blush', 'on', 'yang', 'cocok', 'doain', 'moga', 'tahan', 'ya', 'moga', 'dapat', 'blush', 'on', 'yang', 'cocok', 'https', 't', 'co', '2tdnqwxwy3']",-4,-1
gimana sih asa nyeritain tapi tidak ada respon ness https t co tbfwulpli1,"['gimana', 'sih', 'asa', 'nyeritain', 'tapi', 'tidak', 'ada', 'respon', 'ness', 'https', 't', 'co', 'tbfwulpli1']",-1,-1
unnesmenfess unnes gg pisang toko roti coba saja,"['unnesmenfess', 'unnes', 'gg', 'pisang', 'toko', 'roti', 'coba', 'saja']",-2,-1
ness otw pati jam 3 subuh cewek aman tidak,"['ness', 'otw', 'pati', 'jam', '3', 'subuh', 'cewek', 'aman', 'tidak']",-7,-1
ness tidur sudah bangun sender tidak tidur,"['ness', 'tidur', 'sudah', 'bangun', 'sender', 'tidak', 'tidur']",-4,-1
hairdo syarat rambut bahu kenan reply komen terimakasih luvvv,"['hairdo', 'syarat', 'rambut', 'bahu', 'kenan', 'reply', 'komen', 'terimakasih', 'luvvv']",6,1
